item,refs,qty,subsystem,manufacturer,mpn_or_spec,description,rating_or_value,footprint_or_mount,procurement,status,unit_price_brl,subtotal_brl,verification
CTRL-001,MCU1,1,controller,Genérico confiável,ESP32-DEVKIT-30P-OR-38P,placa ESP32 DevKit com Wi-Fi,alimentação USB 5V e GPIO 3.3V,módulo removível,Mercado Livre/AliExpress/loja de robótica,VALIDAR,55,55,"conferir variante pinagem e boot cinco vezes com saídas desconectadas"
CTRL-002,K1,1,controller,Genérico confiável,RELAY-8CH-5V-3V3-COMPATIBLE,módulo relé de oito canais optoacoplado e ativo em LOW,contatos conforme carga e entrada compatível com 3.3V,caixa seca,Mercado Livre/AliExpress/loja de robótica,VALIDAR,40,40,"medir nível de disparo; usar seis canais e deixar dois desconectados"
CTRL-003,MD1-MD2,2,controller,Genérico confiável,MOSFET-4CH-LOGIC-PWM,módulo MOSFET lógico de quatro canais para carga DC,12V e corrente maior que a corrente de partida medida,módulo em caixa seca,Mercado Livre/AliExpress/loja de robótica,VALIDAR,25,50,"usar seis canais; confirmar desligado com GPIO flutuante e instalar fusível"
CTRL-004,PB1,1,controller,Genérico,PERFBOARD-TERMINAL-KIT,placa perfurada bornes resistores e conectores,passo 2.54mm e bornes para corrente medida,fundo de madeira/caixa,Mercado Livre/loja local,PLANEJADO,30,30,"soldar; não usar protoboard sem solda para operação permanente"
PWR-001,PSU1,1,power,Genérico com proteção,FONTE-12V-15A,fonte chaveada para bombas e relés,entrada local e saída 12V 15A ou maior,caixa seca ventilada,Mercado Livre/loja de eletrônica,VALIDAR,90,90,"somar corrente real e testar aquecimento por uma hora"
PWR-002,DC1,1,power,Genérico,BUCK-12V-5V-3A,conversor DC-DC para relés e lógica,entrada 12V saída ajustada 5.0V 3A,módulo em caixa seca,Mercado Livre/AliExpress/loja de robótica,VALIDAR,15,15,"ajustar para 5.0V antes de conectar ESP32 ou relé"
PWR-003,F1-F8,8,power,Genérico,FUSE-HOLDER-AUTOMOTIVE,porta-fusíveis e fusíveis para ramais DC,12V corrente por carga medida,em linha/MINI,Mercado Livre/loja automotiva,PLANEJADO,2.5,20,"um fusível por grupo; nunca substituir por valor maior sem medir"
ACT-001,PD1-PD6,6,dosing,Genérico,BOMBA-PERISTALTICA-12V-30-100ML-MIN,bomba peristáltica pequena com tubo substituível,12V até 0.6A e vazão nominal 30-100mL/min,prateleira de dosagem,Mercado Livre/AliExpress/loja de robótica,VALIDAR,55,330,"calibrar individualmente em dez ciclos e verificar compatibilidade do tubo"
ACT-002,PW1-PW3,3,hydraulic,Genérico,BOMBA-SUBMERSIVEL-12V,bombas de mistura irrigação e drenagem,12V e vazão/altura compatíveis com a instalação,reservatório/linha,Mercado Livre/AliExpress/loja de aquário,VALIDAR,25,75,"testar somente com água; medir vazão na altura real e impedir operação seca"
SEN-001,PH1,1,chemistry,Genérico,PH-ANALOG-BNC-0-3V3,kit sonda e interface analógica de pH com BNC,saída condicionada limitada a 0-3.3V,módulo na caixa seca,Mercado Livre/loja de robótica,VALIDAR,110,110,"medir tensão antes do ESP32 e calibrar com soluções conhecidas"
SEN-002,EC1,1,chemistry,Genérico,EC-ANALOG-0-20MS,kit EC/TDS analógico com eletrodo substituível,faixa útil deve cobrir 0-20mS/cm e saída até 3.3V,módulo na caixa seca,Mercado Livre/loja de robótica,VALIDAR,120,120,"não comprar sensor de solo; calibrar e comparar com medidor de referência"
SEN-003,TH1,1,climate,Genérico,DHT22-AM2302,sensor de temperatura e umidade do ar,3.3-5V e saída digital,pequena placa perfurada,Mercado Livre/loja de robótica,VALIDAR,35,35,"comparar por 24h com termohigrômetro e afastar de névoa direta"
SEN-004,LEAK1-LEAK2,2,safety,Genérico,LEAK-PROBE-DIGITAL,sensor de vazamento simples para o ponto mais baixo,saída digital compatível com 3.3V,bandeja/piso,Mercado Livre/AliExpress/loja de robótica,VALIDAR,10,20,"testar com água de baixa condutividade e solução; fio rompido deve ser detectado na inspeção"
SEN-005,FS1-FS2,2,hydraulic,Genérico,FLOAT-SWITCH-NO-NC,boias para nível mínimo e máximo,contato seco baixa tensão,reservatórios,Mercado Livre/loja de aquário,VALIDAR,15,30,"confirmar orientação NO/NC e material antes de furar a caixa"
